Section,0,500,"1,000","1,500","2,000","2,500","3,000","3,500","4,000","4,500","5,000","5,500","6,000","7,000","8,000","9,000","10,000","11,000","12,000","13,000","14,000","15,000","16,000","17,000","18,000"

150x50x6,28.7,28.7,28.7,28.5,28.1,27.6,27.2,26.8,26.4,26,25.6,25.2,24.8,24.1,23.4,22.7,22,21.4,20.8,,,,,,
150x50x5,24.8,24.8,24.8,24.7,24.3,23.9,23.6,23.2,22.9,22.5,22.2,21.9,21.6,20.9,20.3,19.7,19.2,18.6,18.1,,,,,,
150x50x4,20.6,20.6,20.6,20.6,20.2,19.9,19.6,19.3,19,18.8,18.5,18.2,17.9,17.4,16.9,16.5,16,15.5,15.1,,,,,,
150x50x3,16.2,16.2,16.2,16.2,15.9,15.6,15.4,15.2,15,14.8,14.5,14.3,14.1,13.7,13.3,13,12.6,12.2,11.9,,,,,,
150x50x2.5,13.7,13.7,13.7,13.7,13.4,13.2,13.1,12.9,12.7,12.5,12.3,12.1,12,11.6,11.3,11,10.7,10.4,10.1,,,,,,
150x50x2,10.8,10.8,10.8,10.8,10.6,10.5,10.3,10.2,10,9.91,9.77,9.64,9.51,9.25,9,8.75,8.52,8.29,8.08,,,,,,
125x75x6,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26,25.8,25.6,25.4,25.2,24.9,24.5,24.1,23.8,23.4,23.1,,,,,,
125x75x5,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.5,22.3,22.1,22,21.8,21.5,21.2,20.9,20.6,20.3,20,,,,,,
125x75x4,19,19,19,19,19,19,19,19,18.6,18.5,18.3,18.2,18.1,17.8,17.6,17.3,17.1,16.8,16.6,,,,,,
125x75x3,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.5,14.4,14.3,14.2,14,13.8,13.6,13.4,13.2,13,,,,,,
125x75x2.5,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.6,11.5,11.5,11.4,11.2,11.1,10.9,10.8,10.6,10.5,,,,,,
100x50x6,14.3,14.3,14.3,14.3,14.3,14,13.8,13.6,13.4,13.3,13.1,13,12.8,12.5,12.2,11.9,11.6,11.4,11.1,,,,,,
100x50x5,12.5,12.5,12.5,12.5,12.5,12.2,12.1,12,11.8,11.7,11.5,11.4,11.3,11,10.7,10.5,10.2,10,9.76,,,,,,
100x50x4,10.5,10.5,10.5,10.5,10.5,10.3,10.2,10.1,9.94,9.82,9.7,9.59,9.47,9.25,9.03,8.82,8.62,8.42,8.23,,,,,,
100x50x3.5,9.43,9.43,9.43,9.43,9.43,9.23,9.12,9.02,8.91,8.8,8.7,8.6,8.5,8.3,8.1,7.92,7.73,7.56,7.39,,,,,,
100x50x3,8.4,8.4,8.4,8.4,8.4,8.22,8.12,8.02,7.93,7.84,7.74,7.65,7.56,7.38,7.21,7.04,6.88,6.72,6.57,,,,,,
100x50x2.5,7.14,7.14,7.14,7.14,7.14,6.99,6.91,6.83,6.75,6.67,6.59,6.51,6.44,6.29,6.14,6,5.86,5.73,5.6,,,,,,
100x50x2,5.83,5.83,5.83,5.83,5.83,5.71,5.64,5.58,5.51,5.45,5.38,5.32,5.26,5.14,5.02,4.9,4.79,4.68,4.58,,,,,,
100x50x1.6,4.33,4.33,4.33,4.33,4.33,4.27,4.22,4.18,4.13,4.09,4.05,4,3.96,3.88,3.79,3.71,3.64,3.56,3.49,,,,,,
75x50x6,8.84,8.84,8.84,8.84,8.84,8.84,8.6,8.51,8.42,8.33,8.24,8.15,8.06,,,,,,,,,,,,
75x50x5,7.84,7.84,7.84,7.84,7.84,7.84,7.64,7.56,7.48,7.4,7.32,7.24,7.16,,,,,,,,,,,,
75x50x4,6.66,6.66,6.66,6.66,6.66,6.66,6.49,6.42,6.35,6.29,6.22,6.16,6.09,,,,,,,,,,,,
75x50x3,5.38,5.38,5.38,5.38,5.38,5.38,5.25,5.19,5.13,5.08,5.03,4.97,4.92,,,,,,,,,,,,
75x50x2.5,4.6,4.6,4.6,4.6,4.6,4.6,4.48,4.43,4.39,4.34,4.29,4.25,4.2,,,,,,,,,,,,
75x50x2,3.77,3.77,3.77,3.77,3.77,3.77,3.67,3.64,3.6,3.56,3.52,3.48,3.45,,,,,,,,,,,,
75x50x1.6,2.84,2.84,2.84,2.84,2.84,2.84,2.78,2.75,2.73,2.7,2.68,2.65,2.62,,,,,,,,,,,,

