Member,Depth,TimesSymbol,Thickness,Type,Mass,GrossArea,Order
165.1x5.4CHS,165.1,x,5.4,CHS,21.3,2710,1
165.1x5.0CHS,165.1,x,5,CHS,19.7,2510,2
139.7x5.4CHS,139.7,x,5.4,CHS,17.9,2280,3
139.7x5.0CHS,139.7,x,5,CHS,16.6,2120,4
114.3x5.4CHS,114.3,x,5.4,CHS,14.5,1850,5
114.3x4.5CHS,114.3,x,4.5,CHS,12.2,1550,6
101.6x5.0CHS,101.6,x,5,CHS,11.9,1520,7
101.6x4.0CHS,101.6,x,4,CHS,9.63,1230,8
88.9x5.9CHS,88.9,x,5.9,CHS,12.1,1540,9
88.9x5.0CHS,88.9,x,5,CHS,10.3,1320,10
88.9x4.0CHS,88.9,x,4,CHS,8.38,1070,11
76.1x5.9CHS,76.1,x,5.9,CHS,10.2,1300,12
76.1x4.5CHS,76.1,x,4.5,CHS,7.95,1010,13
76.1x3.6CHS,76.1,x,3.6,CHS,6.44,820,14
60.3x5.4CHS,60.3,x,5.4,CHS,7.31,931,15
60.3x4.5CHS,60.3,x,4.5,CHS,6.19,789,16
60.3x3.6CHS,60.3,x,3.6,CHS,5.03,641,17
48.3x4.0CHS,48.3,x,4,CHS,4.37,557,18
48.3x3.2CHS,48.3,x,3.2,CHS,3.56,453,19
42.4x4.0CHS,42.4,x,4,CHS,3.79,483,20
42.4x3.2CHS,42.4,x,3.2,CHS,3.09,394,21
33.7x4.0CHS,33.7,x,4,CHS,2.93,373,22
33.7x3.2CHS,33.7,x,3.2,CHS,2.41,307,23
26.9x4.0CHS,26.9,x,4,CHS,2.26,288,24
26.9x3.2CHS,26.9,x,3.2,CHS,1.87,238,25
26.9x2.6CHS,26.9,x,2.6,CHS,1.56,198,26
