Member,Depth,TimesSymbol1,Width,TimesSymbol2,Thickness,Type,Mass,GrossArea,Ixx,Iyy,PhiMsx350,PhiMsy350,PhiMsx450,PhiMsy450,Order
250x150x9.0RHS,250,x,150,x,9,RHS,51.8,6600,53.7,24.3,168,117,,,1
250x150x6.0RHS,250,x,150,x,6,RHS,35.6,4530,38.4,17.5,118,65.6,,,2
250x150x5.0RHS,250,x,150,x,5,RHS,29.9,3810,32.7,15,94.4,49.3,,,3
200x100x9.0RHS,200,x,100,x,9,RHS,37.7,4800,22.8,7.64,92.4,56.8,,,4
200x100x6.0RHS,200,x,100,x,6,RHS,26.2,3330,16.7,5.69,66.2,37.3,,,5
200x100x5.0RHS,200,x,100,x,5,RHS,22.1,2810,14.4,4.92,56.5,28.4,,,6
200x100x4.0RHS,200,x,100,x,4,RHS,17.9,2280,11.9,4.07,46.2,19.9,,,7
150x100x6.0RHS,150,x,100,x,6,RHS,21.4,2730,8.17,4.36,42.3,32,,,8
150x100x5.0RHS,150,x,100,x,5,RHS,18.2,2310,7.07,3.79,36.3,26.3,,,9
150x100x4.0RHS,150,x,100,x,4,RHS,14.8,1880,5.87,3.15,29.8,19.2,,,10
150x50x5.0RHS,150,x,50,x,5,RHS,14.2,1810,4.44,0.765,24.8,10.7,31.9,12.9,11
150x50x4.0RHS,150,x,50,x,4,RHS,11.6,1480,3.74,0.653,20.6,7.91,26.5,9.19,12
150x50x3.0RHS,150,x,50,x,3,RHS,8.96,1140,2.99,0.526,16.2,5.03,20.8,5.89,13
150x50x2.5RHS,150,x,50,x,2.5,RHS,7.53,959,2.54,0.452,,,17.6,4.4,14
150x50x2.0RHS,150,x,50,x,2,RHS,6.07,774,2.08,0.372,,,14,3.1,15
125x75x6.0RHS,125,x,75,x,6,RHS,16.7,2130,4.16,1.87,26.5,18.6,34.1,23.9,16
125x75x5.0RHS,125,x,75,x,5,RHS,14.2,1810,3.64,1.65,22.9,16.1,29.5,20.5,17
125x75x4.0RHS,125,x,75,x,4,RHS,11.6,1480,3.05,1.39,19,12.6,24.4,15.1,18
125x75x3.0RHS,125,x,75,x,3,RHS,8.96,1140,2.43,1.11,14.9,8.3,18.8,9.8,19
125x75x2.5RHS,125,x,75,x,2.5,RHS,7.53,959,2.07,0.942,,,14.1,7.39,20
125x75x2.0RHS,125,x,75,x,2,RHS,6.07,774,1.69,0.771,,,10,5.27,21
100x50x6.0RHS,100,x,50,x,6,RHS,12,1530,1.71,0.567,14.3,8.74,18.4,11.2,22
100x50x5.0RHS,100,x,50,x,5,RHS,10.3,1310,1.53,0.511,12.5,7.69,16.1,9.88,23
100x50x4.0RHS,100,x,50,x,4,RHS,8.49,1080,1.31,0.441,10.5,6.48,13.5,8.23,24
100x50x3.5RHS,100,x,50,x,3.5,RHS,7.53,959,1.18,0.4,9.43,5.71,12.1,6.92,25
100x50x3.0RHS,100,x,50,x,3,RHS,6.6,841,1.06,0.361,8.4,4.73,10.8,5.63,26
100x50x2.5RHS,100,x,50,x,2.5,RHS,5.56,709,0.912,0.311,7.14,3.59,9.18,4.22,27
100x50x2.0RHS,100,x,50,x,2,RHS,4.5,574,0.75,0.257,5.83,2.51,7.37,2.97,28
75x50x6.0RHS,75,x,50,x,6,RHS,9.67,1230,0.8,0.421,8.84,6.66,11.4,8.56,29
75x50x5.0RHS,75,x,50,x,5,RHS,8.35,1060,0.726,0.384,7.84,5.92,10.1,7.61,30
75x50x4.0RHS,75,x,50,x,4,RHS,6.92,881,0.63,0.335,6.66,5.03,8.56,6.47,31
75x50x3.0RHS,75,x,50,x,3,RHS,5.42,691,0.522,0.278,5.38,4.07,6.92,5.17,32
75x50x2.5RHS,75,x,50,x,2.5,RHS,4.58,584,0.45,0.24,4.6,3.34,5.91,4.03,33
75x50x2.0RHS,75,x,50,x,2,RHS,3.72,474,0.372,0.199,3.77,2.43,4.77,2.86,34
75x50x1.6RHS,75,x,50,x,1.6,RHS,3.01,383,0.305,0.164,,,3.34,2.03,35
75x25x2.5RHS,75,x,25,x,2.5,RHS,3.6,459,0.285,0.0487,3.17,1.36,4.07,1.64,36
75x25x2.0RHS,75,x,25,x,2,RHS,2.93,374,0.238,0.0414,2.62,1,3.36,1.17,37
75x25x1.6RHS,75,x,25,x,1.6,RHS,2.38,303,0.197,0.0347,2.15,0.699,2.76,0.816,38
65x35x3.0RHS,65,x,35,x,3,RHS,4.25,541,0.281,0.106,3.46,2.24,4.45,2.88,39
65x35x2.5RHS,65,x,35,x,2.5,RHS,3.6,459,0.244,0.0926,2.98,1.93,3.83,2.41,40
65x35x2.0RHS,65,x,35,x,2,RHS,2.93,374,0.204,0.0778,2.46,1.48,3.16,1.77,41
50x25x3.0RHS,50,x,25,x,3,RHS,3.07,391,0.112,0.0367,1.85,1.12,2.37,1.44,42
50x25x2.5RHS,50,x,25,x,2.5,RHS,2.62,334,0.0989,0.0328,1.61,0.982,2.07,1.26,43
50x25x2.0RHS,50,x,25,x,2,RHS,2.15,274,0.0838,0.0281,1.34,0.824,1.73,1.05,44
50x25x1.6RHS,50,x,25,x,1.6,RHS,1.75,223,0.0702,0.0237,1.11,0.644,1.43,0.777,45
50x20x3.0RHS,50,x,20,x,3,RHS,2.83,361,0.0951,0.0212,1.62,0.827,2.09,1.06,46
50x20x2.5RHS,50,x,20,x,2.5,RHS,2.42,309,0.0848,0.0192,1.42,0.729,1.83,0.938,47
50x20x2.0RHS,50,x,20,x,2,RHS,1.99,254,0.0723,0.0167,1.19,0.616,1.53,0.783,48
50x20x1.6RHS,50,x,20,x,1.6,RHS,1.63,207,0.0608,0.0142,0.99,0.484,1.27,0.582,49
