Member,Mass,Depth,FlangeWidth,FlangeThickness,WebThickness,RootRadius,DepthBetweenFlanges,Ixx,GrossArea,Order
310UC158,158,327,311,25,15.7,16.5,277,388,20100,1
310UC137,137,321,309,21.7,13.8,16.5,277,329,17500,2
310UC118,118,315,307,18.7,11.9,16.5,277,277,15000,3
310UC96.8,96.8,308,305,15.4,9.9,16.5,277,223,12400,4
250UC89.5,89.5,260,256,17.3,10.5,14,225,143,11400,5
250UC72.9,72.9,254,254,14.2,8.6,14,225,114,9320,6
200UC59.5,59.3,210,205,14.2,9.3,11.4,181,61.3,7620,7
200UC52.2,52.2,206,204,12.5,8,11.4,181,52.8,6660,8
200UC46.2,46.2,203,203,11,7.3,11.4,181,45.9,5900,9
150UC37.2,37.2,162,154,11.5,8.1,8.9,139,22.2,4730,10
150UC30.0,30,158,153,9.4,6.6,8.9,139,17.6,3860,11
150UC23.4,23.4,152,152,6.8,6.1,8.9,139,12.6,2980,12
100UC14.8,14.8,97,99,7,5,10,83,3.18,1890,13
